page,juz,surah,page description
2,Juz 1,2. Al Baqara,2. Al Baqara start
3,Juz 1,2. Al Baqara,2. Al Baqara page 2
4,Juz 1,2. Al Baqara,2. Al Baqara page 3
5,Juz 1,2. Al Baqara,2. Al Baqara page 4
6,Juz 1,2. Al Baqara,2. Al Baqara page 5
7,Juz 1,2. Al Baqara,
8,Juz 1,2. Al Baqara,
9,Juz 1,2. Al Baqara,
10,Juz 1,2. Al Baqara,
11,Juz 1,2. Al Baqara,
12,Juz 1,2. Al Baqara,
13,Juz 1,2. Al Baqara,
14,Juz 1,2. Al Baqara,
15,Juz 1,2. Al Baqara,
16,Juz 1,2. Al Baqara,
17,Juz 1,2. Al Baqara,
18,Juz 1,2. Al Baqara,
19,Juz 1,2. Al Baqara,
20,Juz 1,2. Al Baqara,
21,Juz 1,2. Al Baqara,Juz 1 end
22,Juz 2,2. Al Baqara,Juz 2 start
23,Juz 2,2. Al Baqara,
24,Juz 2,2. Al Baqara,
25,Juz 2,2. Al Baqara,
26,Juz 2,2. Al Baqara,
27,Juz 2,2. Al Baqara,
28,Juz 2,2. Al Baqara,
29,Juz 2,2. Al Baqara,
30,Juz 2,2. Al Baqara,
31,Juz 2,2. Al Baqara,
32,Juz 2,2. Al Baqara,
33,Juz 2,2. Al Baqara,
34,Juz 2,2. Al Baqara,
35,Juz 2,2. Al Baqara,
36,Juz 2,2. Al Baqara,
37,Juz 2,2. Al Baqara,
38,Juz 2,2. Al Baqara,
39,Juz 2,2. Al Baqara,
40,Juz 2,2. Al Baqara,
41,Juz 2,2. Al Baqara,Juz 2 end
42,Juz 3,2. Al Baqara,Juz 3 start
43,Juz 3,2. Al Baqara,
44,Juz 3,2. Al Baqara,
45,Juz 3,2. Al Baqara,
46,Juz 3,2. Al Baqara,
47,Juz 3,2. Al Baqara,
48,Juz 3,2. Al Baqara,
49,Juz 3,2. Al Baqara,
50,Juz 3,2. Al Baqara,
51,Juz 3,2. Al Baqara,2. Al Baqara end
52,Juz 3,3. Aal-e-Imran,3. Aal-e-Imran start
53,Juz 3,3. Aal-e-Imran,3. Aal-e-Imran page 2
54,Juz 3,3. Aal-e-Imran,3. Aal-e-Imran page 3
55,Juz 3,3. Aal-e-Imran,3. Aal-e-Imran page 4
56,Juz 3,3. Aal-e-Imran,3. Aal-e-Imran page 5
57,Juz 3,3. Aal-e-Imran,
58,Juz 3,3. Aal-e-Imran,
59,Juz 3,3. Aal-e-Imran,
60,Juz 3,3. Aal-e-Imran,
61,Juz 3,3. Aal-e-Imran,Juz 3 end
62,Juz 4,3. Aal-e-Imran,Juz 4 start
63,Juz 4,3. Aal-e-Imran,
64,Juz 4,3. Aal-e-Imran,
